QuestionId,Section,SubSection,QuestionText,ResponseType,SubTestId,ExtractOrder,SubTest
5d8d68c7-f494-421c-98f1-328707697d3d,CaseInformation,,FirstName,string,b3bb70a9-a66b-495f-956a-9f9bc0679449,1,Case History
0116dbc8-eefa-4b2c-806a-78e183c0be42,CaseInformation,,LastName,string,b3bb70a9-a66b-495f-956a-9f9bc0679449,2,Case History
6f62421e-b2e2-47e6-baee-35d0688fc3ce,CaseInformation,,ChildID,string,b3bb70a9-a66b-495f-956a-9f9bc0679449,3,Case History
da700443-3b89-483f-b2c2-89d2b1b00fc9,CaseInformation,,DateOfBirth,date,b3bb70a9-a66b-495f-956a-9f9bc0679449,4,Case History
dd72a4a5-383c-40f7-a040-e86b7a0c1b0b,CaseInformation,,DateOfTesting,date,b3bb70a9-a66b-495f-956a-9f9bc0679449,5,Case History
68220698-d43b-4662-8957-93fa1320bd60,CaseInformation,,Sex,string,b3bb70a9-a66b-495f-956a-9f9bc0679449,6,Case History
c41d7e38-659e-4fe2-91be-cc5ef5f973f5,CaseInformation,,AboriginalOrTorresStraitIslander,string,b3bb70a9-a66b-495f-956a-9f9bc0679449,7,Case History
52d2d07a-36d8-4f45-ac20-4d4e31d5caad,CaseInformation,,MainLanguageSpokenAtHome,string,b3bb70a9-a66b-495f-956a-9f9bc0679449,8,Case History
ae7fbe4c-2efd-4c0b-8ab0-0ae9acc0fdf7,CaseInformation,,SpecifyMainLanguageSpokenAtHome,string,b3bb70a9-a66b-495f-956a-9f9bc0679449,9,Case History
c919c0c7-e979-4ff7-ae98-54155a30081e,CaseInformation,,SpeakLanguageOtherThanEnglish,string,b3bb70a9-a66b-495f-956a-9f9bc0679449,10,Case History
762ccb79-493a-4093-959f-f84773851a4a,CaseInformation,,SpecifyLanguageSpeakOtherThanEnglish,string,b3bb70a9-a66b-495f-956a-9f9bc0679449,11,Case History
2b48e2aa-26ee-4459-8976-5c651428172a,CaseInformation,,LanguageUnderstandOtherThanEnglish,string,b3bb70a9-a66b-495f-956a-9f9bc0679449,12,Case History
c4824b8c-2f7c-47d5-ae88-add1c284e553,CaseInformation,,SpecifyLanguageUnderstandingOtherThanEnglish,string,b3bb70a9-a66b-495f-956a-9f9bc0679449,13,Case History
0d0c802a-984d-4a7e-b5cc-630220f1aebf,CaseInformation,,ÅgeAtWhichChildStartToLearnEnglish,string,b3bb70a9-a66b-495f-956a-9f9bc0679449,14,Case History
70377dbd-85cd-4179-bc5e-a5c9a356b5ed,CaseInformation,,hasChildEverVisitedPathologist,string,b3bb70a9-a66b-495f-956a-9f9bc0679449,15,Case History
9eae3fcc-4879-4135-8548-6a51e3d7958d,CaseInformation,,reasonToVisitPathologistBefore,string,b3bb70a9-a66b-495f-956a-9f9bc0679449,16,Case History
a0735040-ed37-433c-9141-c3fddfe96b65,CaseInformation,,hasChildRecieveAnyDiagnosisBefore,string,b3bb70a9-a66b-495f-956a-9f9bc0679449,17,Case History
88dc4a07-1788-4fdf-8171-8347b0fd5e71,CaseInformation,,specifyTypeOfDiagnosis,string,b3bb70a9-a66b-495f-956a-9f9bc0679449,18,Case History
e39262c1-f459-425b-8ce5-14dedbf2455d,CaseInformation,,specifyOtherTypeOfDiagnosis,string,b3bb70a9-a66b-495f-956a-9f9bc0679449,19,Case History
5ad9aa0e-8a1d-4d91-8855-3f8013e95650,CaseInformation,,ageWhenChildRecieveDiagnosisBefore,string,b3bb70a9-a66b-495f-956a-9f9bc0679449,20,Case History
06f6b159-4bb4-423a-bd5b-ad987f76f6e1,CaseInformation,,DevelopmentalConcerns,string,b3bb70a9-a66b-495f-956a-9f9bc0679449,21,Case History
a1ac3197-0118-426e-b550-8f1bd6cb768c,CaseInformation,,SpecifyDevelopmentalConcerns,string,b3bb70a9-a66b-495f-956a-9f9bc0679449,22,Case History
dea929de-436a-4e31-b529-7df139c05882,,,Sky,phonetic,f237f340-1655-405c-9372-450be6713b5f,23,Phonology
d78c3d99-cac0-4b79-9fce-0f8162dbdf47,,,Stars,phonetic,f237f340-1655-405c-9372-450be6713b5f,24,Phonology
c058af59-e8ce-461e-8309-8a6cd96f17ea,,,Broom,phonetic,f237f340-1655-405c-9372-450be6713b5f,25,Phonology
c8e95e7a-dfa7-4b62-81ba-7e342b92b8cd,,,Stick,phonetic,f237f340-1655-405c-9372-450be6713b5f,26,Phonology
dae1e15c-2ce1-4d74-a87d-2e405a346087,,,Black,phonetic,f237f340-1655-405c-9372-450be6713b5f,27,Phonology
91bbe486-36d1-4c26-a8a8-aa87e5bdb03f,,,Toilet,phonetic,f237f340-1655-405c-9372-450be6713b5f,28,Phonology
4ae0cbf9-7475-4bec-8798-b87e9507c20c,,,Shoes,phonetic,f237f340-1655-405c-9372-450be6713b5f,29,Phonology
c4c30083-0f09-4437-9dd9-048c4025220d,,,Ears,phonetic,f237f340-1655-405c-9372-450be6713b5f,30,Phonology
2cc1c83b-eca8-4ee6-81ed-d5668f762404,,,Teeth,phonetic,f237f340-1655-405c-9372-450be6713b5f,31,Phonology
277de02d-4cfc-47a5-8d6a-852015e3b1be,,,Orange,phonetic,f237f340-1655-405c-9372-450be6713b5f,32,Phonology
5ffc10e4-0ee4-484d-a926-ebefd689ccaf,,,Hair,phonetic,f237f340-1655-405c-9372-450be6713b5f,33,Phonology
